layer,linear_acc,xgb_acc,gap
0,0.5,0.5,0.0
1,0.5533333333333333,0.7166666666666667,0.16333333333333333
2,0.8433333333333334,0.8833333333333333,0.039999999999999925
3,0.8566666666666667,0.87,0.013333333333333308
4,0.9,0.9166666666666666,0.016666666666666607
5,0.9033333333333333,0.92,0.01666666666666672
6,0.9066666666666666,0.9266666666666666,0.020000000000000018
7,0.95,0.94,-0.010000000000000009
8,0.98,0.9866666666666667,0.00666666666666671
9,0.98,0.99,0.010000000000000009
10,0.98,0.98,0.0
11,0.99,0.9933333333333333,0.0033333333333332993
12,0.99,0.99,0.0
13,0.99,0.9933333333333333,0.0033333333333332993
14,0.9933333333333333,0.9933333333333333,0.0
15,0.9933333333333333,0.9933333333333333,0.0
16,0.9933333333333333,0.9933333333333333,0.0
17,0.9933333333333333,0.9933333333333333,0.0
18,0.9933333333333333,0.9933333333333333,0.0
19,0.9933333333333333,0.99,-0.0033333333333332993
20,0.9933333333333333,0.9933333333333333,0.0
21,0.9933333333333333,0.9933333333333333,0.0
22,0.9933333333333333,0.9866666666666667,-0.006666666666666599
23,0.99,0.9866666666666667,-0.0033333333333332993
24,0.9933333333333333,0.9833333333333333,-0.010000000000000009
25,0.9933333333333333,0.99,-0.0033333333333332993
26,0.9933333333333333,0.98,-0.013333333333333308
