stmt_index,label,eff_rank,s1,s64_over_s1,dctV_overlap_top16
85,1,515.2846656703824,20.534259796142578,0.17450328659115766,0.03979632921753536
87,1,542.5869754905435,17.924030303955078,0.18443106431874334,0.04644428599919448
93,1,576.0658736228768,16.679336547851562,0.18684523765960387,0.04903537924772107
200,1,601.353936447067,18.325597763061523,0.18521026102398538,0.04177447903492906
428,1,466.61670811774127,31.11424446105957,0.11041781543049717,0.045885829627773725
433,1,461.5751795633895,26.864322662353516,0.12838774141366177,0.051657091149785984
523,1,471.4441444918361,24.45652198791504,0.1409798162742125,0.04948029131141464
646,1,558.4033825334634,16.077272415161133,0.19739215690461676,0.05112070843451691
691,1,534.5210511150353,21.278894424438477,0.17239417138471652,0.038510654208804354
716,1,449.404236141185,28.891427993774414,0.10584182305789319,0.05899367384644198
733,1,510.45399048988304,22.326627731323242,0.14464408778272728,0.050847734069568926
759,1,454.5864913677547,23.559329986572266,0.14406066035000034,0.05144065056965412
763,1,576.5685736852114,15.845331192016602,0.21257138264056516,0.047377184944191186
786,1,558.379706649984,16.600221633911133,0.1783949232112842,0.04717251392506247
850,1,496.53722051625687,27.63223648071289,0.12604473761410895,0.04358912022665926
971,1,499.6729800828601,23.82996940612793,0.13776592560114176,0.04303243390675905
1063,0,556.019079102127,19.063434600830078,0.16360145546703111,0.057196286150555956
1067,0,518.8744657258162,21.068519592285156,0.16234955375588495,0.0441757301264074
1090,0,572.1842691407979,19.233150482177734,0.16181054641595208,0.05934833802552507
1164,0,592.6513719398439,22.209333419799805,0.16451406838509536,0.041970083446136716
1223,0,446.92103598893317,34.22333908081055,0.10106850982612273,0.04206099936902675
1274,0,550.3539218471365,26.658092498779297,0.13688663370948329,0.03983267667438551
1353,0,615.6501473112077,13.220758438110352,0.23789038351810615,0.04442744928184411
1445,0,535.6310393125025,22.630617141723633,0.14056526397347618,0.049323181994521
1547,0,523.2022794220269,20.202768325805664,0.15862570145643878,0.04927240980573355
1627,0,559.3029144136863,20.231632232666016,0.16581501653310646,0.047520307331122294
1697,0,557.5178992677006,15.867307662963867,0.19252866827526594,0.039006681678060984
1754,0,448.19993392928336,49.54878234863281,0.10337834388951318,0.03871270876693195
1820,0,492.9055807848477,21.387428283691406,0.15341262267269243,0.049956832362889135
1849,0,577.4511060260563,16.385656356811523,0.21140082888642656,0.03993262548960916
1877,0,585.6149768091112,15.888815879821777,0.1788493485030669,0.04828155572554728
1969,0,563.7634149333297,14.955641746520996,0.2026824231177314,0.05121346276092789
