idx,stem,statement,j_top,tok_top,j_tgt,tok_tgt,margin,margin_capped,m_post,m_pre,delta_face,delta_cone,cone_solved,cone_faces,delta_cone_pre,cone_solved_pre,cone_faces_pre,rmsnorm_penalty,z_norm,h_norm,delta_rel_z,alpha_md_full,radial_md_full,eps_req_md_full,alpha_mean_diff_tgt_asis,radial_mean_diff_tgt_asis,eps_req_mean_diff_tgt_asis,alpha_probe_grad_tgt_asis,radial_probe_grad_tgt_asis,eps_req_probe_grad_tgt_asis
171,The city of Weifang is in,The city of Weifang is in Indonesia.,573, the,201861, Shandong,1.100606432416356,0.32048421149388884,3.3271446228027344,0.663000752001872,0.3307960900987894,0.3311268293562715,True,1,1.6616976770062735,True,1,5.018311805892333,174.725187948549,803.1393477605953,0.0018951293356386477,0.008111433278372134,0.03758660932762141,40.822234245477844,0.003029685457429082,0.008360206559058347,109.29412772679636,0.03935314732724079,0.025281216678428746,8.414240075966198
1246,The city of Langfang is in,The city of Langfang is in China.,1315, He,573, the,0.3033515985842854,0.09880242801941996,2.2256009578704834,0.4254751227144392,0.13630098311718045,0.13643720938547624,True,1,0.7136840903725672,True,1,5.230861094176989,187.5834232542185,820.8593354652656,0.0007273415050143987,0.03201749344313979,0.02679473140480689,4.261333249830332,0.026936235214585484,0.004422231942381383,5.06519223263977,0.010029816226115651,0.012534489687944,13.603161444795052
45,The city of Nowrangapur is in,The city of Nowrangapur is in Vietnam.,573, the,476, a,10.36104449604408,2.7636456952404673,1.4819707870483398,0.3393332726645491,6.991395907796742,6.998387545996315,True,1,30.564069894055066,True,1,4.36730170959743,232.6059299705022,716.9369343480759,0.030086883627101907,0.004320024463374912,0.050417159216599186,1619.987943431459,0.046724848321128214,0.034265055815101544,149.77871084563282,0.023846369985094817,0.032032185594481885,293.4781080043067
467,The city of Tembisa is in the,The city of Tembisa is in the Philippines.,637, E,5571, East,1.8041656055771291,0.7733299782747727,2.207204580307007,0.46043313411774983,0.8173984512691534,0.8182158289307208,True,1,3.922327946603544,True,1,4.793757108964036,173.7696251643838,797.2765002560175,0.004708624008118215,0.002501085721713406,0.06952735186714998,327.144256523199,0.014323630787456099,0.004313418393914312,57.12349341252723,4.5133813484363194e-05,0.016886673929579266,18128.665977099303
767,The city of Narela is in,The city of Narela is in Turkey.,573, the,7923, north,6.846194578714062,1.8064594360079622,2.5179128646850586,0.5777592859289452,2.7189958297347143,2.721714595396253,True,1,11.86141081974479,True,1,4.35806562517915,189.56030009384784,695.7976218361093,0.014358041182931141,0.0006603723847314912,0.0115863011695208,4121.484571925139,0.007570859531211234,0.019800037604132684,359.4987575949406,0.02093584505860459,0.0001542237632092911,130.00261454827847
408,The city of Warri is in,The city of Warri is in Nigeria.,24808, Delta,573, the,1.8386977901998094,0.5362535723061101,2.6749675273895264,0.5664969419940249,0.6873720040983734,0.6880594942103714,True,1,3.2489794046192726,True,1,4.721945459597002,187.36651762536994,734.4020163122299,0.0036722649432280757,0.024954714517756604,0.012088989975889608,27.572324809437532,0.003898101909676719,0.016347518995492326,176.51141764721953,0.018579879287114066,0.007895976236795043,37.03250616313583
596,The city of Zibo is in,The city of Zibo is in China.,573, the,201861, Shandong,0.09716422353602638,0.029603421623115578,3.3271446228027344,0.6524834751860928,0.02920348663839469,0.029232619599797376,True,1,0.14906300811054313,True,1,5.099201171542504,179.00987622930916,816.0867521602312,0.00016330171393644672,0.008111433278372134,0.04024163527502868,3.6038784511414987,0.003029685457429082,0.023884990397550425,9.648730870102758,0.03935314732724079,0.011999183916708152,0.7428279968743988
898,The city of Kalininskiy is in,The city of Kalininskiy is in Russia.,573, the,476, a,16.233770121797846,2.1035461047768544,1.4819707870483398,0.40776114302590744,10.95417687289967,10.965131236296148,True,1,39.851772021147546,True,1,3.6344090337225055,230.29054293620496,595.837422291912,0.04761433577119885,0.004320024463374912,0.03867718405551724,2538.2104497922014,0.046724848321128214,0.02672348264992592,234.67451752728098,0.023846369985094817,0.022844653060414024,459.82391630885155
150,The city of Dehra Dun is in,The city of Dehra Dun is in India.,573, the,164942, Uttarakhand,8.350670189347724,1.4392982111434505,3.254345655441284,0.7880647760049985,2.5660059113220983,2.5685718430722377,True,1,10.607022473891568,True,1,4.12954089740571,185.70562365166765,656.261167057684,0.01383141658590893,0.002936675917446209,0.004090585179361649,874.6528099382238,0.011580968197652298,0.01991192744802299,221.79249603612075,0.004600102526397422,0.005553709165036313,558.3727380710836
765,The city of Theni is in,The city of Theni is in Nigeria.,573, the,45686, Tamil,6.44030387193888,1.8184770942828832,2.876782178878784,0.6046183384414744,2.23871793951705,2.240956534516807,True,1,10.66250111043097,True,1,4.758013351084477,182.5227368410776,741.6301270800168,0.012277684267182593,0.007485779579675495,0.022585764216945078,299.3618113738197,0.0011774050770426412,0.003580555042790351,1903.3012326951668,0.029812568442821357,0.00416746998659651,75.16818078975052
20,The city of Jiaxing is in,The city of Jiaxing is in China.,573, the,181533, Zhejiang,3.0607717819794686,0.8670379499316283,3.3016326427459717,0.66909089773021,0.9270479526861659,0.9279751674001872,True,1,4.579098490540751,True,1,4.934505417175701,182.86407453282425,782.6555376821613,0.005074671828082967,0.009766578632156039,0.02399273212572265,95.01537870640482,0.0019133318212413602,0.004996067892711566,485.0048261875044,0.029637699816251226,0.018203024622583455,31.310633860032247
1271,The city of Nagpur is in,The city of Nagpur is in Denmark.,573, the,476, a,10.895391300107107,2.2223013212204767,1.4819707870483398,0.37983057673087317,7.351960912676017,7.359312954813518,True,1,28.713556626482262,True,1,3.9016626691628242,183.09087032630933,640.4360942641002,0.04019486576090637,0.004320024463374912,0.018551790222359477,1703.5350186568708,0.046724848321128214,0.032260577798384,157.50319624870258,0.023846369985094817,0.008168106180142513,308.6135524783629
1190,The city of Barnaul is in,The city of Barnaul is in Russia.,573, the,16539, southern,8.286878951309902,2.383045689024581,2.6977713108062744,0.5830831832826441,3.071749973066927,3.0748217587530426,True,1,14.226385577257615,True,1,4.6267350413921084,180.49776305127088,736.9662983422603,0.01703523471301764,0.00030598381641607576,0.037107059329817095,10048.968585227103,0.004298087789559991,0.005758675978752289,715.3929629408109,0.023370544577807264,0.017170924512226335,131.5682545828608
86,The city of Sokoto is in,The city of Sokoto is in Nigeria.,573, the,476, a,4.266252938634956,1.1007681247963408,1.4819707870483398,0.3555396862051859,2.8787699298257468,2.881648763776566,True,1,12.011371548975946,True,1,4.168228862574616,192.55777709746977,684.7722550554355,0.014965112327392106,0.004320024463374912,0.03324442783294159,667.0445475962305,0.046724848321128214,0.021458162775365882,61.672725911740024,0.023846369985094817,0.028238830881756348,120.84223995424637
484,The city of Zhangjiakou is in,The city of Zhangjiakou is in China.,573, the,1315, He,2.0683438043328692,0.5507953652487918,2.2256009578704834,0.4913799959445796,0.9293417119625603,0.9302710110118587,True,1,4.213464847716296,True,1,4.529287484873142,191.53265430536018,710.7518346947372,0.0048569838620245364,0.03201749344313979,0.020381195759700963,29.05508554765341,0.026936235214585484,0.01577768744146589,34.536044239327616,0.010029816226115651,0.0006803946509400232,92.75055395228655
