stmt_index,label,eps_star,scale,g_read
67,1,14.8152,0.0,36.6622
67,1,14.8152,14.815201675776379,50.8467
67,1,14.8152,-14.815201675776379,26.2487
67,1,14.8152,29.630403351552758,60.6901
67,1,14.8152,-29.630403351552758,19.5974
625,1,10.0374,0.0,14.4964
625,1,10.0374,10.037408531497766,26.3135
625,1,10.0374,-10.037408531497766,5.83216
625,1,10.0374,20.074817062995532,35.8117
625,1,10.0374,-20.074817062995532,0.952475
193,1,14.7734,0.0,39.2339
193,1,14.7734,14.773432737139782,49.5263
193,1,14.7734,-14.773432737139782,30.9598
193,1,14.7734,29.546865474279564,56.941
193,1,14.7734,-29.546865474279564,24.428
1140,1,14.7761,0.0,27.779
1140,1,14.7761,14.77608184439887,43.4857
1140,1,14.7761,-14.77608184439887,15.9128
1140,1,14.7761,29.55216368879774,53.3307
1140,1,14.7761,-29.55216368879774,8.7955
837,1,33.7415,0.0,36.6035
837,1,33.7415,33.74147349652781,55.104
837,1,33.7415,-33.74147349652781,13.4749
837,1,33.7415,67.48294699305562,68.5765
837,1,33.7415,-67.48294699305562,-2.5585
377,1,16.7726,0.0,38.7959
377,1,16.7726,16.772649330694108,57.0451
377,1,16.7726,-16.772649330694108,24.8308
377,1,16.7726,33.545298661388216,65.7387
377,1,16.7726,-33.545298661388216,14.9516
131,1,8.6657,0.0,25.4262
131,1,8.6657,8.665696471675256,33.637
131,1,8.6657,-8.665696471675256,20.6251
131,1,8.6657,17.33139294335051,44.3032
131,1,8.6657,-17.33139294335051,17.6513
832,1,19.6817,0.0,48.503
832,1,19.6817,19.681739649224635,60.396
832,1,19.6817,-19.681739649224635,33.4052
832,1,19.6817,39.36347929844927,67.7542
832,1,19.6817,-39.36347929844927,23.1184
387,1,24.1896,0.0,33.5207
387,1,24.1896,24.189611666863087,45.9041
387,1,24.1896,-24.189611666863087,20.9936
387,1,24.1896,48.37922333372617,48.0091
387,1,24.1896,-48.37922333372617,13.9494
203,1,14.0634,0.0,38.4222
203,1,14.0634,14.063356736002156,50.9761
203,1,14.0634,-14.063356736002156,26.7674
203,1,14.0634,28.12671347200431,62.2328
203,1,14.0634,-28.12671347200431,17.4707
121,1,8.98332,0.0,26.4068
121,1,8.98332,8.983317104547073,31.3706
121,1,8.98332,-8.983317104547073,22.1325
121,1,8.98332,17.966634209094146,35.6074
121,1,8.98332,-17.966634209094146,18.8158
818,1,5.31896,0.0,27.0934
818,1,5.31896,5.318955137828768,30.1017
818,1,5.31896,-5.318955137828768,23.1209
818,1,5.31896,10.637910275657536,32.4476
818,1,5.31896,-10.637910275657536,19.0494
371,1,9.84524,0.0,34.9685
371,1,9.84524,9.845235183033607,41.8296
371,1,9.84524,-9.845235183033607,25.4832
371,1,9.84524,19.690470366067213,46.603
371,1,9.84524,-19.690470366067213,17.0711
326,1,6.94678,0.0,31.5715
326,1,6.94678,6.946779980661399,37.2737
326,1,6.94678,-6.946779980661399,23.6441
326,1,6.94678,13.893559961322797,41.1381
326,1,6.94678,-13.893559961322797,16.9618
708,1,0,0.0,3.46639
1291,1,10.5764,0.0,48.2899
1291,1,10.5764,10.576350083098673,57.2459
1291,1,10.5764,-10.576350083098673,35.0343
1291,1,10.5764,21.152700166197345,63.4411
1291,1,10.5764,-21.152700166197345,23.5265
1246,1,41.7649,0.0,45.7472
1246,1,41.7649,41.76493440113685,77.3222
1246,1,41.7649,-41.76493440113685,18.5438
1246,1,41.7649,83.5298688022737,96.6106
1246,1,41.7649,-83.5298688022737,2.58674
897,1,14.7414,0.0,54.1829
897,1,14.7414,14.741425297283374,71.0085
897,1,14.7414,-14.741425297283374,38.2708
897,1,14.7414,29.48285059456675,80.4744
897,1,14.7414,-29.48285059456675,28.2615
871,1,15.3595,0.0,42.1447
871,1,15.3595,15.359490107188934,59.1944
871,1,15.3595,-15.359490107188934,23.9535
871,1,15.3595,30.71898021437787,67.8635
871,1,15.3595,-30.71898021437787,16.0766
475,1,20.5495,0.0,44.7589
475,1,20.5495,20.54947591372185,66.1377
475,1,20.5495,-20.54947591372185,24.2723
475,1,20.5495,41.0989518274437,76.7827
475,1,20.5495,-41.0989518274437,11.9808
576,1,14.3462,0.0,38.2227
576,1,14.3462,14.346156832962054,43.978
576,1,14.3462,-14.346156832962054,28.7926
576,1,14.3462,28.692313665924107,46.7988
576,1,14.3462,-28.692313665924107,22.5647
786,1,6.00478,0.0,16.5539
786,1,6.00478,6.0047828427488845,21.0511
786,1,6.00478,-6.0047828427488845,12.8029
786,1,6.00478,12.009565685497769,25.7561
786,1,6.00478,-12.009565685497769,9.85178
318,1,8.48455,0.0,34.0719
318,1,8.48455,8.484549250184017,47.6482
318,1,8.48455,-8.484549250184017,25.4208
318,1,8.48455,16.969098500368034,63.2752
318,1,8.48455,-16.969098500368034,19.922
69,1,13.864,0.0,20.9264
69,1,13.864,13.864045453784273,31.1725
69,1,13.864,-13.864045453784273,10.1444
69,1,13.864,27.728090907568546,37.7446
69,1,13.864,-27.728090907568546,3.64243
891,1,25.7201,0.0,36.0936
891,1,25.7201,25.72006604891539,48.5487
891,1,25.7201,-25.72006604891539,19.4141
891,1,25.7201,51.44013209783078,54.3271
891,1,25.7201,-51.44013209783078,12.1294
1126,1,16.8935,0.0,28.8718
1126,1,16.8935,16.893546474370478,44.1056
1126,1,16.8935,-16.893546474370478,12.6585
1126,1,16.8935,33.787092948740955,53.3372
1126,1,16.8935,-33.787092948740955,0.22413
1207,1,8.77486,0.0,30.561
1207,1,8.77486,8.774855265363993,37.7139
1207,1,8.77486,-8.774855265363993,23.7273
1207,1,8.77486,17.549710530727985,44.24
1207,1,8.77486,-17.549710530727985,18.2702
1164,1,9.47814,0.0,26.0048
1164,1,9.47814,9.47813604925524,35.7024
1164,1,9.47814,-9.47813604925524,17.4224
1164,1,9.47814,18.95627209851048,41.6717
1164,1,9.47814,-18.95627209851048,11.885
999,1,19.2722,0.0,46.3025
999,1,19.2722,19.272212277571533,59.1172
999,1,19.2722,-19.272212277571533,33.8619
999,1,19.2722,38.54442455514307,68.4986
999,1,19.2722,-38.54442455514307,24.6426
1280,1,30.543,0.0,38.3705
1280,1,30.543,30.54304408478284,56.177
1280,1,30.543,-30.54304408478284,16.0525
1280,1,30.543,61.08608816956568,67.8736
1280,1,30.543,-61.08608816956568,4.1106
825,1,21.9638,0.0,40.3614
825,1,21.9638,21.96380373763858,50.0404
825,1,21.9638,-21.96380373763858,29.0033
825,1,21.9638,43.92760747527716,58.6504
825,1,21.9638,-43.92760747527716,21.638
1119,1,32.2477,0.0,38.7591
1119,1,32.2477,32.24773340360167,52.8766
1119,1,32.2477,-32.24773340360167,17.2067
1119,1,32.2477,64.49546680720334,60.7197
1119,1,32.2477,-64.49546680720334,-1.35766
1198,1,24.0179,0.0,35.6523
1198,1,24.0179,24.017930574560985,53.0167
1198,1,24.0179,-24.017930574560985,17.9798
1198,1,24.0179,48.03586114912197,58.2345
1198,1,24.0179,-48.03586114912197,10.6561
295,1,24.295,0.0,47.7549
295,1,24.295,24.295040399023296,63.5016
295,1,24.295,-24.295040399023296,39.7547
295,1,24.295,48.59008079804659,71.7263
295,1,24.295,-48.59008079804659,34.4539
453,1,0,0.0,-5.15486
876,1,6.9017,0.0,25.731
876,1,6.9017,6.901695517893336,31.3888
876,1,6.9017,-6.901695517893336,18.0688
876,1,6.9017,13.803391035786673,35.0798
876,1,6.9017,-13.803391035786673,12.1994
502,1,15.0751,0.0,50.897
502,1,15.0751,15.075081985124207,60.1046
502,1,15.0751,-15.075081985124207,28.1255
502,1,15.0751,30.150163970248414,60.1938
502,1,15.0751,-30.150163970248414,14.9476
425,1,13.7895,0.0,36.0122
425,1,13.7895,13.789516130424644,53.9486
425,1,13.7895,-13.789516130424644,17.1434
425,1,13.7895,27.57903226084929,59.6308
425,1,13.7895,-27.57903226084929,9.24832
465,1,6.68295,0.0,44.2934
